股票代碼,股票名稱,目前價格,成交量,市值,本益比,殖利率,更新時間
1760.TW,1760.TW,72.9000015258789,141000,0,0,0,2025-05-24 08:37:52
1762.TW,1762.TW,29.299999237060547,50000,0,0,0,2025-05-24 08:38:04
1773.TW,1773.TW,146.5,165486,0,0,0,2025-05-24 08:38:15
1776.TW,1776.TW,18.200000762939453,14005,0,0,0,2025-05-24 08:38:27
1783.TW,1783.TW,44.099998474121094,81000,0,0,0,2025-05-24 08:38:39
1786.TW,1786.TW,96.30000305175781,356002,0,0,0,2025-05-24 08:38:50
1789.TW,1789.TW,17.850000381469727,1064613,0,0,0,2025-05-24 08:39:02
1795.TW,1795.TW,227.0,1155200,0,0,0,2025-05-24 08:39:14
1802.TW,1802.TW,14.300000190734863,5714430,0,0,0,2025-05-24 08:39:25
1805.TW,1805.TW,14.449999809265137,55000,0,0,0,2025-05-24 08:39:37
1806.TW,1806.TW,11.350000381469727,7236302,0,0,0,2025-05-24 08:39:48
1808.TW,1808.TW,30.899999618530273,564945,0,0,0,2025-05-24 08:40:00
1809.TW,1809.TW,16.450000762939453,262000,0,0,0,2025-05-24 08:40:12
1810.TW,1810.TW,16.649999618530273,808210,0,0,0,2025-05-24 08:40:24
1817.TW,1817.TW,44.099998474121094,24000,0,0,0,2025-05-24 08:40:35
1903.TW,1903.TW,72.5999984741211,14742257,0,0,0,2025-05-24 08:40:45
1904.TW,1904.TW,18.049999237060547,391972,0,0,0,2025-05-24 08:40:58
1905.TW,1905.TW,13.899999618530273,436533,0,0,0,2025-05-24 08:41:09
1906.TW,1906.TW,13.0,14574,0,0,0,2025-05-24 08:41:21
1907.TW,1907.TW,27.350000381469727,444106,0,0,0,2025-05-24 08:41:33
